index,producer->batch_size,producer->linger_ms,producer->compression_type,producer->topics,consumer->fetch_wait_max_ms
84,28831,68,gzip,4,45
85,35937,86,snappy,5,355
86,59597,58,lz4,9,262
87,30720,73,snappy,8,297
88,175455,96,gzip,8,150
89,10725,72,snappy,6,268
90,112557,100,gzip,5,377
91,13123,24,lz4,1,224
92,91742,67,lz4,8,135
93,78279,31,None,7,85
94,144638,9,lz4,6,483
95,130355,39,gzip,4,102
96,161057,87,None,8,314
97,97201,39,gzip,7,35
98,107423,14,lz4,6,351
99,75835,32,gzip,9,488
100,124038,38,snappy,4,157
101,221156,3,snappy,5,297
102,54919,43,lz4,2,409
103,59011,48,lz4,4,385
104,27935,47,snappy,8,71
105,92037,11,gzip,3,52
106,253198,54,snappy,1,72
107,187330,46,lz4,10,124
108,260773,26,snappy,2,6
109,122056,6,None,7,153
110,129512,46,lz4,9,395
111,157690,81,None,7,216
112,76562,33,gzip,9,322
113,243851,32,snappy,1,171
114,148811,15,gzip,6,253
115,157852,33,gzip,8,104
116,62622,99,gzip,9,465
117,70185,80,snappy,1,11
118,107232,94,lz4,3,250
119,183153,95,snappy,10,495
120,103826,30,gzip,6,155
121,105578,46,gzip,1,153
122,147588,24,lz4,6,268
123,226944,13,lz4,1,58
124,246325,66,lz4,3,402
125,144506,49,gzip,7,179
126,29945,47,lz4,3,488
127,118179,33,gzip,5,170
128,125221,76,snappy,3,358
129,78636,75,gzip,4,252
130,87455,86,gzip,8,414
131,53660,47,lz4,3,329
132,145732,46,None,4,461
133,91516,43,lz4,9,27
134,82150,28,lz4,5,170
135,224468,67,None,5,85
136,30454,72,lz4,10,341
137,99810,19,lz4,5,335
138,85066,63,None,5,127
139,34824,58,gzip,2,6
140,5959,7,gzip,10,256
141,60513,45,gzip,10,245
142,26705,35,snappy,5,453
143,227186,45,lz4,2,196
144,209663,7,None,6,203
145,210213,77,snappy,4,316
146,104659,22,lz4,7,308
147,197886,2,gzip,8,180
148,27485,57,snappy,10,340
149,234328,67,gzip,10,27
150,12562,24,gzip,1,292
151,161193,31,snappy,5,84
152,121385,28,snappy,6,279
153,73138,85,None,2,398
154,114238,65,lz4,8,98
155,256526,10,None,4,31
156,103477,83,snappy,2,61
157,17361,12,snappy,10,480
158,190068,49,gzip,9,303
159,144745,43,lz4,7,210
160,130895,82,snappy,9,27
161,108049,79,lz4,9,173
162,188234,16,None,7,454
163,139892,54,lz4,7,221
164,167915,36,gzip,1,251
165,48480,44,snappy,9,457
166,167112,48,lz4,2,337
167,26979,21,snappy,8,493
168,256377,96,lz4,3,71
169,41006,50,gzip,1,349
170,81688,37,lz4,5,73
171,199428,98,gzip,2,195
172,97403,62,lz4,4,102
173,217992,50,lz4,6,193
174,105057,79,snappy,5,338
175,97017,23,lz4,2,217
176,240766,10,None,1,287
177,33162,20,gzip,6,6
178,181970,42,None,5,454
179,139031,19,lz4,5,487
180,220724,25,lz4,10,164
181,186290,13,snappy,7,455
182,203178,11,snappy,8,196
183,253893,93,None,1,289
184,179855,76,snappy,3,239
185,168120,100,None,1,5
186,104220,77,None,3,394
187,254926,41,snappy,10,132
188,83857,18,snappy,9,436
189,193515,71,lz4,8,14
190,79312,47,gzip,9,30
191,107375,36,lz4,5,353
192,230945,92,None,9,158
193,34507,40,None,5,204
194,51352,97,snappy,3,454
195,67088,62,lz4,8,162
196,102133,61,None,1,221
197,139963,94,None,4,360
198,214628,50,snappy,9,12
199,38437,36,snappy,9,375
200,184589,53,None,6,51
201,120266,56,snappy,1,332
202,67663,97,snappy,9,407
203,78777,8,None,4,416
204,121640,44,lz4,8,385
205,200228,73,lz4,2,403
206,102859,86,gzip,7,267
207,247661,57,lz4,7,252
208,158431,23,snappy,3,79
209,224569,48,lz4,1,14
210,74329,68,snappy,4,467
211,101242,59,snappy,4,351
212,133813,76,snappy,8,68
213,94317,31,gzip,8,363
214,170037,10,gzip,10,261
215,206028,83,lz4,4,126
216,139358,7,None,10,169
217,178293,49,lz4,6,226
218,37102,31,lz4,4,46
219,106379,74,lz4,1,192
220,138241,44,snappy,4,153
221,162053,20,lz4,9,8
222,140671,61,snappy,4,469
223,42434,71,snappy,2,369
224,257402,72,snappy,4,312
225,193255,35,None,1,107
226,202754,97,gzip,5,83
227,145321,78,snappy,6,115
228,199549,27,gzip,8,21
229,98398,75,snappy,10,330
230,162891,31,lz4,9,61
231,240306,84,lz4,3,112
232,9547,4,gzip,4,289
233,43911,83,gzip,5,472
234,237868,28,snappy,3,358
235,111823,14,None,6,165
236,89206,36,lz4,8,280
237,181869,52,snappy,9,53
238,8061,20,gzip,9,163
239,214925,1,None,4,202
240,9520,42,None,9,288
241,83701,9,None,4,173
242,142099,33,lz4,5,205
243,86574,82,snappy,6,463
244,180712,85,lz4,6,197
245,66472,100,snappy,10,488
246,192647,49,None,7,421
247,78150,68,lz4,6,356
248,172374,76,snappy,2,226
249,199085,53,None,1,294
250,92302,69,snappy,2,185
251,101546,45,None,8,469
252,261569,56,lz4,3,466
253,216589,90,None,9,6
254,153231,46,lz4,7,338
255,142885,96,gzip,2,208
256,133289,37,lz4,6,57
257,56702,2,gzip,8,103
258,248471,46,None,9,172
259,119164,42,snappy,8,90
260,228929,24,snappy,7,13
261,217629,67,lz4,9,267
262,58475,4,None,3,281
263,44716,14,snappy,3,357
264,63371,65,lz4,7,150
265,39928,19,lz4,3,14
266,75957,33,snappy,8,123
267,236333,14,lz4,9,22
268,230607,80,gzip,8,244
269,31470,64,snappy,4,110
270,168452,21,snappy,2,414
271,48076,64,gzip,7,240
272,33055,86,None,10,435
273,50210,99,None,1,363
274,10482,23,lz4,1,418
275,59504,8,gzip,5,483
276,174140,96,lz4,7,438
277,93513,70,None,10,94
278,230528,48,gzip,8,254
279,175486,75,snappy,3,112
280,111963,96,lz4,9,494
281,94380,14,lz4,9,396
282,11660,5,None,2,471
283,65805,97,lz4,5,48
284,114931,12,None,10,145
285,7766,33,lz4,2,313
286,103939,42,None,2,99
287,154102,2,None,6,152
288,158085,31,gzip,2,65
289,42387,98,lz4,8,22
290,147654,72,gzip,1,24
291,251975,13,snappy,6,203
292,18767,18,snappy,3,103
293,17701,86,gzip,4,283
294,3149,5,None,4,372
295,259847,3,gzip,6,230
296,162293,22,None,2,289
297,125925,58,gzip,6,155
298,231593,67,snappy,4,152
299,214655,82,None,1,370
300,171221,53,None,5,67
301,79436,13,None,4,94
302,17082,4,gzip,3,223
303,50248,56,gzip,3,414
304,253817,71,snappy,10,348
305,61832,25,gzip,2,378
306,188488,72,None,8,251
307,99442,58,lz4,9,59
308,37778,77,lz4,10,94
309,86962,17,snappy,2,49
310,119491,20,snappy,1,446
311,188177,94,lz4,9,465
312,177103,93,gzip,9,218
313,47312,82,snappy,8,389
314,225972,75,gzip,5,404
315,246303,14,gzip,10,26
316,179311,70,lz4,8,499
317,206306,28,snappy,7,421
318,14415,66,lz4,4,1
319,35256,8,None,2,318
320,158331,8,snappy,1,167
321,20096,48,lz4,2,411
322,19614,21,None,5,41
323,164868,15,None,10,101
324,239491,50,lz4,7,50
325,185424,56,gzip,8,159
326,184430,57,gzip,4,274
327,15579,20,None,6,312
328,47779,39,snappy,7,182
329,197530,63,lz4,6,301
330,204071,94,None,9,181
331,46073,20,gzip,3,258
332,121557,48,gzip,9,490
333,5106,7,lz4,8,70
334,11772,17,None,1,373
335,10193,54,gzip,3,326
336,204164,73,None,2,310
337,2063,21,None,8,350
338,236956,60,None,9,237
339,4445,87,gzip,1,293
340,261673,10,lz4,1,116
341,194771,9,snappy,2,10
342,67739,41,lz4,7,93
343,50168,95,gzip,10,30
344,255803,63,None,1,209
345,194499,82,snappy,6,270
346,167218,37,None,9,54
347,72629,19,snappy,5,464
348,210870,34,gzip,5,250
349,218101,28,snappy,10,114
350,54273,61,None,5,48
351,146166,32,lz4,7,158
352,96775,37,gzip,5,87
353,219697,2,snappy,7,359
354,114524,9,None,6,180
355,261695,27,lz4,8,134
356,1518,75,None,3,171
357,55960,39,lz4,5,88
358,181493,29,snappy,3,26
359,150404,86,lz4,7,125
360,119829,30,lz4,8,475
361,6888,30,snappy,5,188
362,260962,52,lz4,6,103
363,153592,11,gzip,1,304
364,123591,33,None,2,360
365,1381,52,lz4,6,182
366,54971,50,gzip,7,425
367,180331,96,snappy,2,448
368,4294,64,lz4,7,281
369,207511,24,gzip,6,500
370,40787,63,None,3,112
371,21958,96,gzip,4,478
372,250116,99,lz4,8,429
373,189824,25,None,6,489
374,40332,79,snappy,2,336
375,1811,26,lz4,6,293
376,206113,97,None,9,436
377,151912,58,gzip,4,182
378,56767,89,None,6,324
379,24705,52,None,7,53
380,197805,50,None,5,41
381,155144,21,lz4,3,496
382,244680,95,gzip,2,432
383,117829,79,snappy,1,376
384,34599,21,snappy,5,380
385,212604,96,snappy,6,407
386,249811,43,lz4,2,29
387,83968,94,gzip,6,369
388,19787,91,None,7,141
389,168190,70,None,8,261
390,48574,16,gzip,5,183
391,115728,55,snappy,5,145
392,154957,60,gzip,1,279
393,153765,27,snappy,6,24
394,164688,68,snappy,5,329
395,144422,68,lz4,10,179
396,249408,65,snappy,3,387
397,201802,92,snappy,6,366
398,65147,39,snappy,1,473
399,197637,100,lz4,10,274
400,119666,54,snappy,6,48
401,240157,58,snappy,9,273
402,96090,14,gzip,1,80
403,62710,82,lz4,6,59
404,161874,33,gzip,8,53
405,236512,15,lz4,7,193
406,105197,80,lz4,7,209
407,8277,56,None,1,464
408,105757,42,None,8,425
409,216518,100,snappy,6,443
410,225899,92,gzip,10,229
411,98562,80,gzip,3,43
412,73009,9,snappy,5,339
413,199481,55,lz4,1,221
414,154151,17,gzip,6,325
415,192185,68,gzip,4,288
416,83753,33,gzip,4,83
417,62874,11,lz4,8,371
418,79891,74,None,8,134
419,60464,78,gzip,10,306
420,91365,61,snappy,3,36
421,60131,67,gzip,6,151
422,254137,55,lz4,1,467
423,59193,95,gzip,2,344
424,92601,57,None,4,482
425,227253,73,None,8,276
426,166325,88,None,10,495
427,110935,50,lz4,4,462
428,129428,8,gzip,9,176
429,215634,38,lz4,7,476
430,15769,38,gzip,8,382
431,117688,21,gzip,8,274
432,230176,49,snappy,10,358
433,39078,57,lz4,8,477
434,225703,50,lz4,4,246
435,49664,65,lz4,9,248
436,1671,83,gzip,6,418
437,187541,72,lz4,10,259
438,218161,93,gzip,10,305
439,147368,49,gzip,4,330
440,173816,47,snappy,6,221
441,254227,29,None,7,89
442,138771,50,lz4,1,45
443,61463,34,lz4,1,476
444,192424,12,None,8,56
445,127478,73,lz4,7,251
446,226483,72,gzip,9,190
447,198878,54,None,3,425
448,78859,74,None,4,387
449,59192,54,snappy,5,19
450,164452,85,lz4,8,495
451,166767,14,snappy,10,11
452,146117,84,gzip,4,230
453,47599,11,lz4,2,131
454,133251,37,snappy,6,255
455,98511,1,None,8,71
456,247688,56,snappy,8,27
457,164013,14,None,5,362
458,66099,2,gzip,2,384
459,240652,83,lz4,7,386
460,49340,34,snappy,3,304
461,197960,26,gzip,2,398
462,87678,59,None,4,24
463,233053,62,lz4,7,302
464,213849,39,gzip,2,386
465,53351,6,None,2,418
466,65976,71,lz4,8,8
467,2935,68,gzip,9,120
468,75905,81,lz4,1,263
469,384,10,gzip,6,386
470,255557,61,None,3,39
471,167419,54,gzip,3,337
472,215394,80,None,4,411
473,48022,22,snappy,3,143
474,202798,98,lz4,5,197
475,15648,65,None,1,494
476,41458,18,None,10,163
477,5895,98,gzip,5,491
478,133006,51,gzip,1,201
479,56266,89,gzip,3,38
480,247417,29,lz4,10,479
481,210426,45,snappy,2,206
482,243067,82,lz4,7,207
483,77004,33,lz4,4,422
484,187420,8,snappy,6,339
485,142480,44,lz4,1,62
486,21178,57,lz4,3,183
487,125600,67,lz4,2,51
488,17779,93,None,7,214
489,53418,64,gzip,3,237
490,7720,28,lz4,1,301
491,193950,95,lz4,8,51
492,32398,60,None,2,130
493,108950,12,lz4,2,222
494,154803,20,gzip,2,131
495,102982,51,snappy,1,207
496,142058,20,gzip,8,241
497,159926,41,snappy,3,480
498,228495,25,snappy,10,332
499,77419,94,lz4,5,251
500,45814,92,snappy,3,434
501,175689,13,None,2,176
502,229322,27,None,5,496
503,196974,26,None,8,23
504,204776,85,snappy,2,179
505,150937,15,None,6,381
506,44899,98,None,3,402
507,36971,38,snappy,5,9
508,35575,40,lz4,2,341
509,248092,5,snappy,5,181
510,34726,69,lz4,4,365
511,190535,4,None,1,25
512,81967,85,snappy,7,65
513,61042,48,gzip,4,403
514,112422,91,gzip,4,285
515,104157,88,gzip,7,222
516,67117,53,lz4,10,348
517,43560,13,lz4,4,323
518,176013,97,lz4,8,403
519,175232,54,lz4,8,162
520,249762,22,gzip,3,486
521,48679,7,lz4,3,126
522,211155,78,lz4,8,401
523,227072,59,lz4,10,256
524,230708,30,snappy,9,464
525,219186,68,gzip,8,286
526,215854,77,snappy,9,481
527,141379,44,gzip,7,186
528,241653,47,lz4,7,437
529,32093,31,gzip,6,203
530,178807,18,snappy,6,34
531,34024,21,gzip,4,279
532,65947,60,lz4,5,310
533,222138,24,snappy,6,149
534,38398,22,gzip,4,449
535,53914,60,None,4,365
536,208796,16,None,2,194
537,218437,45,None,3,150
538,244994,57,snappy,3,374
539,118342,57,snappy,2,353
540,158534,23,None,5,4
541,47955,7,gzip,10,213
542,55707,38,snappy,7,486
543,27672,1,gzip,8,69
544,189390,88,lz4,8,182
545,122534,28,gzip,4,83
546,96723,4,gzip,5,348
547,100257,60,snappy,9,100
548,194295,10,gzip,2,404
549,162349,66,lz4,2,112
550,1358,72,snappy,10,327
551,18678,40,snappy,3,40
552,84437,97,lz4,5,54
553,84877,38,snappy,10,123
554,222825,54,None,2,314
555,106073,6,None,10,489
556,158442,72,lz4,6,422
557,28442,49,None,8,89
558,70078,79,None,2,172
559,22169,54,snappy,1,440
560,193826,30,lz4,2,182
561,57970,36,gzip,7,344
562,39186,45,gzip,5,349
563,178207,41,None,10,310
564,228771,34,snappy,5,468
565,166220,46,gzip,6,166
566,62762,25,gzip,7,153
567,153544,44,gzip,7,175
568,27259,11,gzip,1,32
569,242866,62,snappy,10,108
570,192269,70,None,6,16
571,92214,86,lz4,10,253
572,136939,64,gzip,1,387
573,260086,81,gzip,10,243
574,226512,45,gzip,7,347
575,209976,83,snappy,10,129
576,25846,29,lz4,2,78
577,147322,81,None,8,185
578,192326,84,None,3,458
579,39142,61,snappy,3,183
580,99978,52,gzip,2,152
581,235688,61,lz4,8,308
582,190634,94,snappy,10,375
583,75744,71,gzip,7,298
584,9721,39,None,5,200
585,72351,87,snappy,9,209
586,229455,54,lz4,7,172
587,250235,20,None,7,401
588,10981,85,snappy,7,97
589,146486,53,None,1,84
590,74237,95,None,9,124
591,95683,72,lz4,5,342
592,115101,33,lz4,4,427
593,137522,90,None,4,404
594,40943,46,lz4,1,82
595,11580,30,snappy,8,499
596,155696,24,None,8,164
597,5261,29,None,4,19
598,243492,2,lz4,9,416
599,40709,27,lz4,8,218
600,171668,82,lz4,10,107
601,170608,39,lz4,6,12
602,223447,41,lz4,7,343
603,183277,38,None,4,139
604,99495,38,gzip,7,240
605,94263,91,snappy,10,193
606,172649,67,None,9,350
607,120051,44,gzip,1,70
608,18777,66,lz4,9,215
609,212449,79,gzip,8,476
610,57312,48,lz4,10,23
611,222471,81,lz4,6,367
612,220420,47,snappy,2,442
613,27781,43,None,5,144
614,254792,94,gzip,6,389
615,236282,77,gzip,5,318
616,205699,33,snappy,8,484
617,55433,89,gzip,7,313
618,129116,88,gzip,5,91
619,93263,17,lz4,5,119
620,146025,18,snappy,6,63
621,91053,89,snappy,6,149
622,234497,13,gzip,3,498
623,150985,71,snappy,5,444
624,95228,34,None,10,327
625,222429,82,lz4,9,108
626,234062,80,gzip,7,247
627,138435,75,lz4,2,498
628,157715,4,snappy,10,169
629,211361,57,gzip,10,466
630,45693,60,None,6,5
631,186761,98,lz4,6,329
632,169542,16,snappy,8,423
633,261833,9,gzip,6,18
634,213600,57,lz4,1,340
635,247355,60,snappy,4,389
636,108928,77,None,3,51
637,154751,96,snappy,8,270
638,153411,30,None,7,219
639,165534,38,None,3,158
640,84025,2,None,6,1
641,88572,29,lz4,10,398
642,128344,31,snappy,6,433
643,60323,85,snappy,4,463
644,164655,90,snappy,8,430
645,108524,32,gzip,10,383
646,245433,41,lz4,8,362
647,158695,63,snappy,3,318
648,31221,33,gzip,7,294
649,81040,40,lz4,2,11
650,3481,94,gzip,1,485
651,220859,44,None,7,377
652,110679,56,lz4,1,104
653,57538,34,lz4,7,230
654,197763,29,None,7,269
655,187968,68,gzip,6,433
656,29283,93,gzip,1,239
657,99251,88,None,8,494
658,156324,79,None,10,482
659,35002,94,None,1,308
660,222970,42,None,4,310
661,121819,43,snappy,4,460
662,106408,50,lz4,7,267
663,210540,23,lz4,10,460
664,174408,54,gzip,4,391
665,230850,3,lz4,9,67
666,182492,1,None,8,436
667,207716,55,None,8,146
668,194900,48,snappy,9,170
669,92106,43,lz4,3,115
670,81681,92,lz4,5,28
671,110507,64,lz4,10,384
672,185475,70,lz4,1,198
673,236202,22,gzip,10,295
674,12401,83,None,3,336
675,249564,62,None,4,28
676,52041,73,gzip,10,493
677,96595,74,gzip,2,28
678,261154,32,gzip,10,435
679,82076,52,lz4,1,225
680,229733,35,snappy,2,230
681,123523,39,snappy,1,415
682,117798,34,lz4,4,71
683,87878,2,None,3,216
684,215957,85,None,7,178
685,195,16,snappy,7,184
686,246576,96,snappy,1,373
687,190247,14,lz4,10,451
688,81300,14,lz4,6,162
689,214233,98,lz4,7,246
690,49547,34,lz4,1,470
691,207895,95,None,7,42
692,232492,1,lz4,4,482
693,26119,45,lz4,2,267
694,95291,92,None,4,300
695,90037,32,lz4,3,154
696,48,70,None,6,212
697,59839,30,None,6,393
698,71044,8,lz4,10,291
699,56417,40,lz4,6,439
700,227066,1,None,9,66
701,209248,81,lz4,6,202
702,22181,84,snappy,2,290
703,176001,34,gzip,8,350
704,150430,99,snappy,3,388
705,154241,58,None,4,499
706,7336,80,gzip,3,364
707,16979,64,lz4,3,382
708,236158,21,None,5,472
709,95395,62,gzip,8,477
710,82266,40,None,9,434
711,127937,82,gzip,9,312
712,198304,10,gzip,2,34
713,88797,51,lz4,8,291
714,39297,40,None,7,174
715,223218,55,None,10,451
716,57005,30,gzip,4,106
717,257217,33,None,6,333
718,118523,65,lz4,6,232
719,171151,44,snappy,3,497
720,16101,15,lz4,4,480
721,84626,34,gzip,9,174
722,78199,95,lz4,10,222
723,21668,83,snappy,7,196
724,115498,2,None,6,113
725,50280,97,snappy,9,396
726,185529,1,snappy,10,421
727,124762,76,None,6,9
728,219074,87,gzip,7,201
729,260262,19,None,6,76
730,189512,82,lz4,7,30
731,46342,59,None,10,119
732,9059,40,gzip,9,226
733,20845,9,lz4,7,492
734,29017,94,gzip,6,214
735,255684,19,None,10,325
736,27804,91,None,9,423
737,91134,58,lz4,4,387
738,228733,2,None,9,228
739,214086,8,None,10,41
740,77742,90,lz4,6,186
741,215101,76,gzip,8,398
742,209244,82,gzip,8,130
743,37527,45,None,5,219
744,137125,47,snappy,6,296
745,215555,15,snappy,9,333
746,82659,7,lz4,1,364
747,111362,24,lz4,3,401
748,147222,97,None,2,377
749,131596,3,snappy,6,335
750,235469,14,gzip,2,7
751,77771,87,lz4,4,262
752,65044,33,snappy,3,435
753,235626,94,gzip,6,374
754,51253,86,None,2,131
755,206927,43,snappy,8,255
756,96467,96,gzip,8,308
757,11051,60,gzip,3,332
758,181918,47,snappy,8,312
759,244188,75,snappy,2,45
760,43407,3,gzip,6,272
761,57775,41,None,10,271
762,196695,40,lz4,2,241
763,131049,4,gzip,1,353
764,175844,35,lz4,9,454
765,213148,33,lz4,5,213
766,51473,92,gzip,5,321
767,49145,53,gzip,7,301
768,47666,50,snappy,1,67
769,161374,63,gzip,5,348
770,203490,63,snappy,1,291
771,187186,44,None,6,13
772,17971,99,None,4,311
773,1094,62,snappy,9,329
774,130664,87,None,4,88
775,64907,30,gzip,7,260
776,167796,87,snappy,3,487
777,190323,11,lz4,7,116
778,227320,58,snappy,5,81
779,188071,6,gzip,2,156
780,135485,13,lz4,6,456
781,248171,32,lz4,6,112
782,82319,61,gzip,7,264
783,144592,12,snappy,2,394
784,169100,52,lz4,7,342
785,37463,13,None,3,282
786,147891,68,gzip,2,241
787,2698,96,None,9,473
788,188025,2,None,4,238
789,70723,29,snappy,1,169
790,115873,20,None,4,461
791,52529,73,None,6,36
792,145642,45,snappy,10,398
793,17763,12,gzip,8,114
794,156849,47,lz4,3,118
795,110020,67,snappy,10,443
796,60248,16,snappy,10,339
797,223828,35,snappy,7,352
798,36441,68,lz4,5,400
799,228102,3,lz4,6,256
800,220785,39,None,2,279
801,144985,97,None,4,494
802,132287,95,snappy,4,333
803,121296,56,None,7,347
804,194535,54,None,10,79
805,163241,82,snappy,8,366
806,106288,11,lz4,6,181
807,14727,44,gzip,9,66
808,170367,36,lz4,6,32
809,211411,70,lz4,10,463
810,213738,89,gzip,10,192
811,209006,41,None,3,453
812,199662,49,None,10,102
813,221431,61,lz4,5,178
814,31850,7,None,3,21
815,124911,97,lz4,9,295
816,28323,40,None,8,230
817,28297,58,lz4,7,96
818,168867,90,snappy,2,119
819,96404,6,snappy,6,380
820,58953,85,snappy,3,57
821,76224,35,None,6,360
822,109597,40,lz4,1,258
823,57142,21,gzip,7,470
824,113873,50,None,6,291
825,180661,59,lz4,1,21
826,166390,100,None,4,100
827,49207,80,None,10,475
828,123033,3,snappy,6,447
829,178505,31,gzip,1,435
830,241824,61,gzip,9,313
831,146841,93,None,9,489
832,25160,61,snappy,1,120
833,231327,13,lz4,9,183
834,191843,73,None,10,177
835,63703,98,snappy,8,449
836,78662,31,None,1,238
837,246173,54,lz4,9,100
838,159853,39,gzip,2,342
839,137966,28,lz4,8,409
840,120562,75,None,7,183
841,207985,6,gzip,10,338
842,146406,62,lz4,8,395
843,27629,44,gzip,5,153
844,86848,81,None,2,222
845,133574,71,lz4,5,242
846,44625,6,snappy,9,154
847,32044,20,lz4,7,64
848,157922,28,None,8,236
849,120695,88,lz4,7,23
850,23435,22,snappy,3,215
851,172827,82,lz4,9,106
852,244629,93,lz4,3,82
853,231243,91,snappy,10,471
854,176111,99,None,6,239
855,16225,100,None,5,487
856,117916,98,lz4,1,130
857,152831,84,None,1,113
858,17629,88,None,7,354
859,141039,92,lz4,6,256
860,1278,39,lz4,4,276
861,35184,83,snappy,2,253
862,2873,80,snappy,9,217
863,186046,58,snappy,9,201
864,6580,11,lz4,10,95
865,113780,18,None,10,200
866,227753,88,None,9,25
867,114427,64,None,4,87
868,112892,8,lz4,9,497
869,104017,48,gzip,3,6
870,174483,3,None,8,487
871,54407,2,lz4,3,254
872,141536,64,snappy,8,44
873,53620,100,lz4,1,275
874,176245,60,gzip,1,74
875,102688,54,lz4,2,205
876,145520,57,None,3,194
877,997,31,snappy,9,70
878,83200,68,gzip,5,393
879,100414,77,lz4,7,376
880,117731,12,gzip,6,121
881,205228,4,lz4,8,330
882,39497,62,gzip,3,406
883,205379,57,None,8,57
884,173270,88,gzip,6,108
885,82957,4,snappy,9,54
886,225186,49,snappy,6,495
887,48337,29,lz4,4,319
888,28901,56,lz4,10,410
889,261905,79,snappy,7,220
890,10800,51,None,10,203
891,248946,36,lz4,8,487
892,8998,12,snappy,5,475
893,48419,98,gzip,2,387
894,246061,4,snappy,9,81
895,58796,14,snappy,3,7
896,250179,2,lz4,3,58
897,149881,61,lz4,4,41
898,210668,55,gzip,1,260
899,106589,26,lz4,4,13
900,167552,6,snappy,7,397
901,90907,7,snappy,4,56
902,121915,6,lz4,10,195
903,219109,9,gzip,3,358
904,226560,25,snappy,3,411
905,65003,75,lz4,1,2
906,152937,34,gzip,8,458
907,19332,9,gzip,4,153
908,233296,55,snappy,8,379
909,75215,52,gzip,5,123
910,51157,86,None,5,347
911,126987,2,gzip,7,80
912,4613,81,snappy,3,363
913,58084,76,gzip,6,13
914,30153,25,lz4,3,7
915,250834,8,snappy,3,39
916,172554,85,None,4,344
917,147146,91,gzip,10,202
918,214737,24,gzip,9,354
919,196445,23,None,6,111
920,246214,44,gzip,7,405
921,160194,76,None,7,349
922,127068,81,gzip,1,46
923,234787,13,lz4,9,142
924,3782,62,gzip,9,325
925,16586,74,snappy,2,479
926,160316,7,snappy,5,12
927,214771,37,lz4,6,179
928,247932,2,None,10,382
929,51322,37,lz4,10,390
930,203264,43,snappy,5,376
931,5838,74,snappy,2,129
932,20053,41,snappy,7,368
933,13962,25,snappy,10,370
934,98740,73,gzip,10,336
935,201657,11,lz4,10,87
936,164618,59,lz4,9,381
937,81337,74,snappy,9,333
938,43144,1,snappy,1,343
939,257050,5,None,2,342
940,71381,80,gzip,10,199
941,60625,10,lz4,10,81
942,209685,70,gzip,7,119
943,195678,80,None,5,352
944,161511,32,None,8,338
945,201628,61,lz4,8,412
946,251662,61,lz4,5,282
947,14541,39,lz4,3,424
948,96310,72,snappy,5,205
949,86208,4,None,7,136
950,77378,84,lz4,1,171
951,174116,8,snappy,6,154
952,1764,82,snappy,2,273
953,115298,48,gzip,5,263
954,189291,26,snappy,1,223
955,62464,91,gzip,3,58
956,88071,56,lz4,7,335
