index,producer->batch_size,producer->linger_ms,producer->buffer_memory,producer->compression_type,producer->topics,broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,consumer->fetch_wait_max_ms
120,238379,95,14973945,lz4,3,13,2,499,6
121,132327,16,33110071,none,8,3,18,75,9
122,193669,23,13875334,none,6,10,18,336,283
123,47444,30,1018004,snappy,3,18,9,17,421
124,203696,100,20904964,gzip,1,13,6,37,401
125,258141,57,32419137,lz4,6,10,12,197,91
126,180153,60,17092005,snappy,8,19,12,417,229
127,97642,32,25086817,none,7,13,2,139,486
128,150768,89,29073472,snappy,4,2,24,122,151
129,25014,20,22405052,none,2,12,24,283,206
130,33167,90,11526676,gzip,5,19,4,434,441
131,212524,93,4112770,lz4,5,1,6,149,366
132,15064,21,26023682,none,1,18,4,156,192
133,240201,64,19863736,snappy,2,7,10,475,64
134,214497,29,1219982,lz4,3,13,8,472,27
135,81053,16,164698,snappy,3,6,20,84,377
136,67229,46,28734119,snappy,9,8,7,389,284
137,242268,23,29241982,lz4,7,2,15,456,310
138,134215,9,1183362,lz4,4,3,19,252,197
139,204046,76,18908972,lz4,7,2,1,45,306
140,141776,38,2675456,snappy,9,7,21,308,390
141,152814,7,26862872,snappy,10,1,10,446,322
142,181056,53,4826844,gzip,1,13,12,310,410
143,21461,81,23433720,snappy,4,17,21,48,163
144,180823,23,33422441,gzip,4,3,2,290,372
145,114320,91,24150076,gzip,2,16,4,158,207
146,86318,98,28069854,gzip,5,6,20,383,489
147,117712,12,21860537,snappy,10,19,11,448,101
148,162971,48,16209844,lz4,9,19,11,453,159
149,49742,67,26076752,snappy,7,7,8,168,223
150,80301,92,16481306,none,3,20,16,430,134
151,3709,32,21211084,lz4,9,2,5,469,154
152,171430,35,8088692,none,3,17,3,367,272
153,155974,14,22754070,none,10,3,9,72,76
154,4662,77,22441842,lz4,6,1,23,462,28
155,3504,21,1991302,none,6,9,7,29,394
156,51377,28,32819328,lz4,1,20,17,422,395
157,217842,48,28925459,lz4,2,4,23,26,253
158,24306,83,16328815,gzip,8,9,3,351,248
159,224521,39,29225575,gzip,6,20,12,360,437
160,258232,61,10208689,gzip,7,11,1,391,418
161,133223,92,18720800,snappy,8,16,11,111,423
162,100076,40,6140362,none,4,10,22,325,484
163,178560,6,22173079,gzip,9,5,22,399,317
164,158231,64,21296744,lz4,10,9,3,491,281
165,258607,85,19327791,gzip,6,1,22,195,21
166,97338,40,3270933,gzip,10,13,16,254,434
167,49988,32,29136802,snappy,1,15,5,118,280
168,157900,98,33068753,gzip,7,14,18,228,469
169,130088,79,27971666,none,1,18,3,9,253
170,115574,28,26715690,snappy,6,15,22,275,160
171,82314,29,29180831,lz4,5,9,14,374,129
172,179993,22,29603530,lz4,7,17,4,186,9
173,202830,64,673699,snappy,8,1,13,271,305
174,124657,20,7499894,lz4,10,19,2,392,383
175,184376,70,2949497,lz4,2,16,11,55,261
176,14122,44,10737217,snappy,6,20,4,422,194
177,97874,71,17031041,gzip,9,8,7,349,283
178,14514,46,20192188,lz4,4,1,19,465,37
179,258864,49,26617168,none,3,1,22,391,500
180,48069,56,16772523,gzip,9,7,20,488,90
181,32368,89,14015744,gzip,1,8,24,235,354
182,119084,60,1610716,lz4,9,2,24,178,237
183,122161,35,17699038,none,8,10,7,354,225
184,70485,67,7391237,none,3,11,23,7,61
185,209290,40,31691887,none,6,4,7,362,446
186,185302,84,11403916,none,5,19,7,337,25
187,223567,68,31856045,snappy,4,16,15,265,168
188,84103,42,30844681,lz4,4,4,18,326,190
189,230208,54,19592256,gzip,3,8,23,290,197
190,179426,8,32399137,none,4,18,17,199,167
191,71257,80,6510946,snappy,8,16,6,247,170
192,52588,90,10443992,snappy,8,1,6,470,54
193,200267,45,28116830,gzip,4,16,1,87,56
194,163725,69,6670404,gzip,4,20,1,200,189
195,28512,48,23680280,lz4,7,19,14,294,327
196,177978,35,10962192,lz4,9,8,21,329,306
197,110774,13,28497783,none,8,18,14,453,457
198,121163,87,19750640,snappy,5,16,13,401,184
199,24565,5,26757301,lz4,3,17,8,475,72
200,34427,37,11710838,lz4,4,13,23,196,115
201,236778,7,8686,snappy,1,5,15,103,406
202,25471,38,4282915,gzip,3,6,8,117,164
203,161884,15,2219743,none,10,19,8,364,309
204,188263,42,14321369,snappy,7,8,20,82,48
205,203893,90,19580070,lz4,9,8,6,344,392
206,197212,94,10977393,snappy,4,10,6,444,422
207,201733,69,15939980,gzip,8,19,2,343,337
208,206170,11,31017032,none,1,12,4,279,121
209,48435,20,28393615,none,8,10,9,3,148
210,196222,78,19687737,none,1,9,11,213,216
211,52419,20,11965716,snappy,6,13,18,57,383
212,184929,58,5092386,gzip,2,1,21,395,17
213,19000,10,25004571,gzip,10,16,1,196,130
214,60370,100,2282449,snappy,6,19,15,49,442
215,81496,18,685529,snappy,9,5,3,110,109
216,37106,49,26410212,snappy,5,1,12,111,295
217,201158,49,25266635,gzip,8,16,24,283,115
218,25102,82,29700226,gzip,7,7,24,8,348
219,29541,84,3383106,snappy,5,13,18,363,300
220,94262,76,33133630,none,9,10,11,437,231
221,206314,37,23228989,lz4,4,20,21,280,491
222,52011,87,16870163,none,5,8,13,122,3
223,116832,7,19996677,lz4,10,18,15,63,324
224,95341,90,27252810,snappy,1,15,15,6,139
225,81651,86,8566927,lz4,10,18,21,358,163
226,191010,96,8736291,none,4,5,13,246,469
227,46781,6,757459,snappy,9,20,20,63,12
228,239693,67,10237115,snappy,6,8,7,320,334
229,37950,75,7408901,gzip,2,14,13,312,411
230,118736,4,20784979,lz4,9,9,2,218,397
231,102480,5,26691894,snappy,4,7,22,258,122
232,60684,16,8385180,none,7,6,22,445,274
233,198816,95,23827732,snappy,4,1,1,228,447
234,226358,37,7748943,none,9,16,2,243,338
235,5176,72,29613209,gzip,9,14,5,476,486
236,235568,5,4272356,gzip,9,15,10,208,297
237,73266,10,21674781,none,3,17,20,386,113
238,223927,88,29575280,none,1,16,10,188,141
239,39102,24,3036512,lz4,2,10,4,406,90
240,164709,62,13209309,lz4,7,15,8,252,474
241,234971,7,24438976,lz4,2,4,19,144,303
242,183723,45,574340,lz4,6,16,17,397,247
243,183624,100,9502716,gzip,3,5,5,487,96
244,191447,35,18233935,gzip,1,17,13,107,391
245,259585,97,5297692,none,6,17,4,294,385
246,126005,5,3239825,gzip,6,9,8,162,483
247,5633,52,29824786,lz4,1,2,23,121,294
248,195794,46,32611941,gzip,5,17,16,21,189
249,108374,8,12042674,gzip,2,8,22,490,218
250,187481,61,16982841,lz4,10,12,11,382,397
251,197603,2,12688541,none,10,17,23,134,88
252,97745,97,7370184,none,4,2,5,296,52
253,113850,25,3583115,gzip,3,18,23,362,5
254,239405,42,10905364,gzip,3,16,21,461,186
255,143781,69,24818711,gzip,5,6,23,90,136
256,35389,54,17393594,snappy,1,12,21,119,282
257,203935,99,26506796,gzip,4,2,8,63,331
258,122080,69,14007453,none,1,13,17,166,259
259,159360,94,11284248,gzip,1,3,4,109,400
260,231745,27,29979847,lz4,6,18,6,276,314
261,147086,38,31635942,snappy,7,17,10,236,470
262,161969,90,9897554,snappy,9,5,2,119,20
263,64058,88,31094869,lz4,10,19,5,259,108
264,16339,97,12834230,snappy,8,17,3,205,291
265,161394,72,2462307,none,2,2,14,308,469
266,99605,14,17425007,snappy,1,16,14,412,381
267,210056,37,2543251,lz4,3,16,11,498,49
268,105822,70,21223197,none,4,17,15,460,116
269,156729,22,24746491,none,3,6,21,417,131
270,9627,69,11639500,lz4,8,7,10,38,192
271,137330,55,963753,gzip,5,18,2,466,436
272,124791,76,29968907,none,6,4,6,500,468
273,45902,81,31827490,lz4,7,17,24,219,430
274,142759,16,5005209,gzip,8,3,4,424,232
275,51528,74,8849665,lz4,4,5,24,498,273
276,110087,2,24446977,none,3,16,13,273,408
277,47235,58,5215901,lz4,9,14,18,187,137
278,208958,74,22228151,none,9,13,18,146,199
279,87717,50,5872363,lz4,5,14,6,142,352
280,221075,24,13132243,gzip,8,13,2,314,196
281,259827,66,9875084,lz4,8,4,23,15,167
282,85711,10,27647777,lz4,9,14,6,63,384
283,106560,77,8964617,none,5,10,19,238,302
284,207202,82,22107676,lz4,7,20,9,346,481
285,253379,41,8772828,lz4,3,20,1,33,298
286,132965,49,9732267,gzip,5,9,22,421,164
287,255700,33,25693006,lz4,9,19,4,245,199
288,41890,76,22622114,gzip,5,11,10,489,114
289,215222,79,28364941,snappy,7,9,6,123,313
290,28961,85,1334018,lz4,9,4,13,87,371
291,47157,33,16666461,gzip,4,4,14,383,221
292,216234,91,13173874,none,8,16,23,398,436
293,144231,55,10176793,none,2,1,24,389,463
294,253774,50,4671532,lz4,3,14,7,303,172
295,102869,17,21802453,lz4,5,16,18,85,312
296,103253,63,14353168,none,1,14,3,328,451
297,108742,38,30799984,gzip,10,12,5,114,453
298,43348,62,28309614,lz4,6,18,24,47,240
299,102966,75,3752943,snappy,5,4,20,179,16
300,189940,52,352575,snappy,7,19,15,205,46
301,56535,56,22576030,none,2,15,16,201,97
302,57987,1,23661605,lz4,6,7,22,87,430
303,164196,36,1830424,none,5,5,2,403,487
304,155892,1,31420433,lz4,3,8,9,474,187
305,39442,24,30138867,none,5,19,21,280,154
306,63034,33,2508073,gzip,7,13,3,158,258
307,210705,77,7777155,gzip,3,11,5,140,86
308,102381,93,13892328,lz4,4,7,6,87,471
309,229347,55,31290187,gzip,8,6,15,189,257
310,201227,4,1431793,gzip,4,8,12,248,432
311,101375,21,16521303,none,7,7,2,193,217
312,23710,2,33264923,lz4,1,10,10,156,396
313,90074,86,3655811,lz4,5,4,13,404,157
314,69884,93,15906493,gzip,3,12,9,285,46
315,86661,23,27937643,snappy,1,11,23,394,463
316,115807,34,12991069,snappy,5,10,14,109,240
317,148408,24,28933783,lz4,4,19,16,22,33
318,13348,81,4718306,gzip,3,8,20,301,90
319,198687,20,33139527,none,7,5,11,215,19
320,221921,45,10644416,none,1,2,24,343,189
321,3647,51,11937128,lz4,4,3,2,101,72
322,154200,52,8035753,gzip,4,17,16,239,435
323,152313,43,32507827,lz4,1,1,14,66,295
324,178769,62,416048,snappy,3,19,20,206,69
325,186101,29,18861759,none,8,7,5,322,427
326,145043,50,8517012,snappy,2,5,24,264,99
327,51019,44,6076633,none,7,7,20,94,119
328,75213,69,11674850,lz4,5,9,21,492,127
329,48754,58,5529599,gzip,5,20,11,71,41
330,32043,44,71813,lz4,4,3,8,308,151
331,34668,91,27868280,gzip,9,14,4,152,137
332,214467,83,20568182,snappy,10,2,14,375,177
333,127583,45,2179215,gzip,2,4,15,10,237
334,171936,74,21492125,lz4,4,3,11,471,272
335,249324,75,23988557,snappy,9,14,5,434,408
336,55076,47,3371848,lz4,7,17,19,279,7
337,1331,30,13078134,none,5,5,6,442,476
338,228773,85,25347561,lz4,2,18,2,496,398
339,171820,6,15280148,snappy,10,17,16,25,277
340,224928,93,6956140,lz4,7,17,21,459,346
341,224183,58,30062001,snappy,10,9,24,128,150
342,222404,78,32763314,snappy,2,8,24,171,453
343,241445,41,26325132,none,1,1,15,489,350
344,63881,18,52819,snappy,2,4,16,116,418
345,235274,40,19363194,snappy,9,16,4,293,229
346,32500,97,25110157,gzip,5,4,24,148,134
347,9449,92,22268485,lz4,2,8,21,127,101
348,143314,86,32815120,snappy,1,18,12,281,21
349,136872,60,20394762,gzip,2,11,9,64,215
350,149461,83,22042135,snappy,5,12,23,170,262
351,191652,68,33035693,lz4,7,12,1,402,331
352,200306,99,3714643,none,8,9,20,403,273
353,131209,11,22783040,snappy,1,7,2,41,110
354,184284,4,29021961,snappy,7,12,4,119,182
355,87909,9,14262627,lz4,5,15,8,421,50
356,82246,8,32702874,gzip,8,16,20,266,447
357,260374,98,8148984,lz4,6,7,18,129,492
358,261453,83,3154386,none,6,1,9,18,233
359,125223,54,26405313,gzip,9,13,5,253,477
360,76429,85,24655455,none,8,14,21,131,474
361,107456,65,9068660,gzip,9,16,8,486,40
362,107071,94,8912378,none,4,12,8,20,465
363,60948,43,21601733,snappy,4,15,2,473,10
364,174481,82,7777999,none,8,13,17,56,210
365,208767,73,15073286,lz4,2,2,6,232,98
366,151452,51,15503613,none,1,4,23,227,200
367,78556,62,30932989,gzip,7,15,15,133,109
368,260719,86,14378010,lz4,1,15,11,383,178
369,86849,79,30176757,snappy,5,5,6,500,406
370,233004,9,19796813,none,9,3,19,176,104
371,253820,96,13291700,snappy,8,8,15,382,5
372,150388,77,13029217,none,5,12,11,422,409
373,121794,8,11192567,lz4,8,10,11,139,268
374,27132,44,4011601,snappy,2,2,20,352,453
375,158034,14,25216839,none,1,17,24,383,308
376,30750,77,27905549,snappy,8,9,1,326,402
377,120621,6,16670589,none,4,20,14,47,72
378,89081,41,8476216,snappy,6,16,10,62,447
379,158700,13,8003603,lz4,5,12,14,284,149
380,154522,8,20265482,none,8,13,11,116,247
381,129842,11,1650276,none,5,10,4,270,19
382,137219,8,7199736,snappy,5,17,5,109,61
383,97888,5,486664,snappy,9,2,24,116,485
384,171864,21,23444878,lz4,3,4,8,358,51
385,208320,78,9799213,gzip,2,19,10,26,399
386,31999,13,3962144,lz4,7,17,2,131,140
387,257695,54,7674756,none,8,5,6,54,414
388,123210,47,26420068,none,6,11,17,148,205
389,202406,72,5189874,none,8,5,6,321,166
390,4567,79,32614951,none,7,15,18,127,453
391,192004,18,30362404,snappy,1,10,6,191,359
392,214376,58,18428529,lz4,2,14,11,480,473
393,118168,18,16383504,lz4,9,1,18,379,122
394,164877,25,5483980,lz4,6,1,16,183,273
395,16143,59,6979263,snappy,4,10,19,166,369
396,246632,30,32761634,snappy,5,5,21,99,294
397,196490,97,11854463,lz4,7,3,19,43,492
398,73085,1,23377401,none,3,6,16,70,497
399,115126,78,23487582,none,5,16,1,157,198
400,187003,56,24903457,snappy,5,16,24,72,491
401,42948,94,31594620,snappy,6,3,8,57,221
402,11619,90,1670467,snappy,7,11,2,38,279
403,321,12,15055270,none,5,2,5,62,418
404,90003,38,31930184,gzip,7,1,2,471,245
405,167707,86,16205609,lz4,3,5,1,230,355
406,103087,21,20228225,gzip,3,5,8,300,368
407,148360,53,27555323,gzip,1,20,6,126,323
408,8745,54,10831116,none,1,11,3,87,363
409,260133,79,28107358,snappy,6,4,9,396,251
410,139150,22,21452790,gzip,3,3,12,309,304
411,18447,95,25462960,snappy,1,17,7,303,169
412,124347,38,5796853,gzip,1,14,16,347,306
413,226429,7,13449398,gzip,9,8,16,254,428
414,201652,88,6929281,none,3,10,5,245,343
415,34761,16,2380981,gzip,4,13,4,99,407
416,82638,55,28086637,gzip,8,7,5,413,288
417,190736,75,14133781,snappy,5,11,3,363,61
418,144668,72,33406630,gzip,9,20,16,493,411
419,78406,27,9564595,gzip,4,11,6,187,42
420,20782,58,14111642,none,7,1,17,317,346
421,77105,5,14385007,none,4,6,7,122,27
422,180482,63,7559245,lz4,2,9,2,224,86
423,103867,89,16873303,gzip,4,8,5,129,295
424,162500,93,23225451,none,2,17,19,177,272
425,13252,71,13809286,gzip,2,16,19,136,373
426,241906,70,30475285,gzip,2,8,9,300,233
427,61872,96,26047318,gzip,6,13,20,454,491
428,109657,86,32121056,gzip,7,1,17,266,382
429,96660,16,23423351,lz4,4,4,16,169,463
430,196728,63,5951713,snappy,6,15,13,321,114
431,43805,53,11897955,snappy,8,16,22,230,139
432,3410,93,27165321,snappy,7,7,22,161,53
433,149642,12,28169784,none,10,20,21,261,380
434,237179,18,2869057,gzip,5,1,22,434,299
435,8875,7,14197173,gzip,9,13,5,35,436
436,36797,4,7573267,none,7,1,23,472,160
437,255879,80,28384671,none,4,7,9,294,40
438,227566,41,23599919,snappy,4,9,21,85,251
439,125894,86,2576566,snappy,6,11,19,171,236
440,126131,7,23937734,lz4,7,6,20,52,32
441,175631,34,5936215,none,8,20,4,85,222
442,3182,62,5518520,snappy,6,6,9,46,281
443,229833,71,22988628,gzip,8,4,11,480,440
444,168851,62,4548057,snappy,9,10,16,79,135
445,43281,72,25657984,none,8,15,13,163,370
446,208865,57,9004080,lz4,2,7,15,20,4
447,6154,83,31471762,lz4,6,8,4,312,154
448,109701,46,30415831,lz4,2,10,20,311,467
449,140764,18,16990304,snappy,1,15,7,26,270
450,157155,22,5981807,none,1,9,12,202,295
451,223212,43,13088515,none,10,8,8,32,140
452,108906,75,31864691,lz4,10,6,19,12,129
453,177592,43,15496681,lz4,9,9,22,391,476
454,155297,71,17372056,lz4,6,1,24,320,300
455,170027,9,31644218,snappy,10,16,4,489,435
456,252648,21,25907688,none,9,1,11,102,320
457,184476,14,12872120,gzip,4,3,12,121,28
458,31317,73,32499525,snappy,2,13,16,340,48
459,90138,58,20458614,snappy,10,3,7,128,440
460,106198,33,9907945,none,4,16,11,333,217
461,73710,65,23322871,none,1,18,11,470,45
462,96176,85,18968588,none,7,10,8,67,118
463,78592,19,5772062,gzip,7,13,20,161,124
464,35925,45,25335420,snappy,3,20,18,316,316
465,255220,95,25959365,snappy,8,19,4,288,297
466,225480,60,27376028,none,5,20,10,12,479
467,191943,8,2799626,none,3,1,20,372,341
468,138691,95,23076389,snappy,1,13,3,456,178
469,197391,35,18814197,snappy,7,3,18,449,208
470,65638,100,18038472,none,9,20,16,137,375
471,825,50,23257990,lz4,8,8,8,165,79
472,121626,34,26735291,lz4,3,14,16,248,283
473,126714,30,13593835,gzip,5,14,10,410,84
474,95873,49,4680453,gzip,1,19,3,238,38
475,123011,75,22676709,lz4,1,12,11,59,210
476,80324,52,27422238,snappy,1,1,1,77,452
477,125705,99,22510362,lz4,1,14,11,182,349
478,176233,96,31395240,lz4,2,10,1,6,185
479,173075,65,2625670,gzip,8,11,17,51,119
480,246377,88,3870609,none,8,20,13,201,391
481,23922,90,26597741,snappy,2,15,4,413,21
482,104981,75,24237732,gzip,4,7,12,268,263
483,161310,95,4657434,snappy,10,14,9,5,9
484,158082,29,21202214,snappy,7,2,16,442,457
485,165825,47,31028352,none,2,9,22,56,478
486,233517,81,8795343,none,5,16,15,135,58
487,250245,12,16904348,snappy,2,16,14,334,147
488,6116,72,29288715,gzip,8,2,20,467,428
489,144346,36,20067662,none,8,10,4,333,143
490,152552,97,20449968,none,6,16,20,317,457
491,50761,18,31570022,none,9,3,18,447,42
492,2947,59,30368304,lz4,5,12,8,272,353
493,206080,98,15922174,lz4,3,11,9,295,177
494,249626,63,10243100,none,7,18,15,34,332
495,101505,1,8159200,lz4,4,8,16,187,258
496,50293,15,30697624,none,9,5,5,166,470
497,76608,90,11213158,gzip,7,2,15,167,376
498,262018,9,15674201,snappy,10,15,2,75,375
499,185704,100,18093526,lz4,4,11,17,429,111
500,79413,79,21290919,snappy,9,15,4,314,358
501,149334,56,30986531,gzip,9,6,11,118,479
502,165521,60,30054569,gzip,7,19,24,345,104
503,135112,60,15706138,none,5,18,9,262,296
504,229698,87,23395917,snappy,5,4,8,192,175
505,173624,77,21510515,snappy,7,8,2,363,83
506,8930,43,29747352,gzip,4,2,12,448,453
507,136188,70,7878602,none,3,6,12,173,454
508,39426,43,7142528,snappy,2,15,18,443,170
509,84982,44,28203313,none,5,14,16,28,335
510,211647,73,8801440,snappy,7,10,16,85,57
511,243073,91,32086373,none,10,6,14,92,411
512,54976,90,11684194,gzip,10,2,11,11,445
513,8213,66,4755562,none,8,10,7,363,487
514,162132,76,13601686,none,4,10,22,364,346
515,69748,3,7727867,none,10,11,14,17,57
516,61045,13,10108319,gzip,5,7,16,1,238
517,178480,45,6367816,none,3,3,12,276,466
518,78164,77,25099734,snappy,3,7,11,249,312
519,7611,30,27755104,snappy,7,16,5,242,430
520,10321,49,8942501,snappy,9,19,22,76,281
521,145377,26,7276608,snappy,10,8,3,464,292
522,203440,1,19108025,lz4,6,3,16,305,433
523,150431,39,16600332,lz4,8,11,4,91,23
524,242015,8,17203071,gzip,3,18,15,187,360
525,56023,25,13225920,none,2,2,21,390,263
526,170551,26,33062107,lz4,8,20,4,202,322
527,164548,40,12741076,gzip,3,6,19,183,58
528,3770,49,14561702,snappy,9,20,3,424,73
529,257972,84,1496485,gzip,8,1,20,310,445
530,150040,19,32409682,lz4,9,10,2,255,244
531,27162,70,24972231,lz4,3,1,9,498,313
532,55301,75,24996458,none,10,19,17,305,185
533,119880,85,5902244,lz4,5,2,16,348,60
534,169776,1,28196706,gzip,1,14,6,130,396
535,166901,85,1362694,snappy,7,9,7,109,191
536,163361,28,18398777,snappy,7,14,9,126,290
537,145087,46,11446889,lz4,4,1,24,39,201
538,75396,64,25535884,none,3,4,8,413,133
539,76054,60,5726031,none,10,19,4,49,395
540,230288,70,2289294,lz4,6,15,19,393,53
541,88272,82,20937946,snappy,3,20,21,107,290
542,123859,59,3207616,none,9,1,5,447,209
543,231203,10,28802272,lz4,9,3,20,77,489
544,81774,80,1038501,snappy,2,1,23,18,244
545,27090,45,12465522,none,6,14,11,206,393
546,11503,59,3511784,snappy,4,10,14,240,314
547,157491,86,11098562,lz4,3,9,10,36,235
548,240739,45,2663158,none,6,10,10,340,3
549,185188,76,17665225,snappy,4,17,12,78,202
550,233358,25,7241728,snappy,6,9,15,440,136
551,30084,85,13021427,gzip,1,1,21,172,287
552,438,69,24507852,none,10,3,24,115,165
553,215149,13,16743560,gzip,10,2,11,92,264
554,242858,68,17994817,none,8,7,23,180,412
555,8107,7,4355150,gzip,9,12,22,138,85
556,232524,41,23343293,snappy,6,3,4,221,428
557,225839,35,6573560,none,7,2,17,335,168
558,160288,45,20661100,gzip,4,18,10,275,272
559,21060,41,3939093,gzip,9,20,24,71,90
560,156460,73,2792174,snappy,8,19,6,409,355
561,189972,29,15969155,lz4,7,16,2,446,338
562,21595,65,65624,lz4,6,9,20,311,140
563,238448,14,9137501,none,1,11,7,239,322
